datetime,measured_surface,measured_surface_total_mean
2023-07-04 13:49:15,-4352938.239803571,-377.1660005702505
2023-07-04 13:49:36,-4351106.963180952,-377.0670678842027
2023-07-04 13:49:56,-4364882.574953571,-376.6551116951379
2023-07-04 13:50:17,-4351716.197210714,-376.36483256950817
2023-07-04 13:50:38,-4341936.575478572,-376.10525039301314
2023-07-04 13:50:58,-4337365.306378571,-375.9908341277824
2023-07-04 13:51:18,-4320681.928383334,-375.713142925555
2023-07-04 13:51:39,-4338013.141042063,-375.8940185088407
2023-07-04 13:52:00,-4328853.748984524,-375.4640206624127
2023-07-04 13:52:21,-4321569.990382251,-375.5326723048085
2023-07-04 13:52:41,-4333932.92050992,-375.68381937616914
2023-07-04 13:53:02,-4324844.6317714285,-375.40432851078566
2023-07-04 13:53:22,-4327381.540212698,-375.3849022154649
2023-07-04 13:53:43,-4333954.306786507,-375.17759658178977
2023-07-04 13:54:03,-4332559.022361905,-375.2275827797316
2023-07-04 13:54:24,-4326815.03414127,-375.4067048787918
2023-07-04 13:54:44,-4323500.867142857,-375.2750026084688
2023-07-04 13:55:05,-4336358.808478175,-375.4204183642444
2023-07-04 13:55:25,-4329922.933557937,-375.3390725725943
2023-07-04 13:55:45,-4337239.922426984,-375.5882616944433
2023-07-04 13:56:06,-4327675.545395238,-375.5846792025768
2023-07-04 13:56:26,-4328607.743022619,-375.5116900857007
2023-07-04 13:56:47,-4328958.85529127,-375.6072826285764
2023-07-04 13:57:08,-4322341.614323016,-375.7134072556031
2023-07-04 13:57:28,-4324888.711588528,-375.67326956218994
2023-07-04 13:57:48,-4335283.881267857,-375.5265068278681
2023-07-04 13:58:09,-4340090.135009524,-375.6259568489277
2023-07-04 13:58:29,-4350197.416340693,-375.5333099369429
2023-07-04 13:58:50,-4331608.52147316,-375.4244577746822
2023-07-04 13:59:10,-4337271.957569841,-375.6793668455732
2023-07-04 13:59:31,-4338443.913122222,-375.4536832484659
2023-07-04 13:59:52,-4336611.347155555,-375.5207281570262
2023-07-04 14:00:12,-4341906.392751515,-375.6575128662088
2023-07-04 14:00:33,-4335319.249854762,-375.3803497462149
2023-07-04 14:00:54,-4341856.959150794,-375.4350001737846
2023-07-04 14:01:14,-4339165.846011905,-375.44234054501135
2023-07-04 14:01:34,-4356172.877276191,-375.729183687696
2023-07-04 14:01:55,-4362416.371335317,-375.8959971736673
2023-07-04 14:02:15,-4353605.579014286,-375.7236145892413
2023-07-04 14:02:36,-4349869.3595857145,-375.81006572114336
2023-07-04 14:02:56,-4363644.641422222,-375.8950619832903
2023-07-04 14:03:17,-4337553.2916916665,-375.4709141032325
2023-07-04 14:03:38,-4352477.25769881,-375.6159443331301
2023-07-04 14:03:58,-4342453.057388744,-375.6251974050853
2023-07-04 14:04:19,-4361766.352078572,-375.48162106774566
2023-07-04 14:04:39,-4351939.390947619,-375.4864308875945
2023-07-04 14:04:59,-4357286.0969238095,-375.2997355938083
2023-07-04 14:05:20,-4368727.194590079,-375.4476496884196
2023-07-04 14:05:40,-4344191.6398,-375.4968959527532
2023-07-04 14:06:01,-4355900.496932143,-375.84002026703786
2023-07-04 14:06:22,-4351652.443849999,-375.4457975838693
2023-07-04 14:06:42,-4350718.569755555,-375.4966074408901
2023-07-04 14:07:02,-4347084.761957143,-375.6251031473845
2023-07-04 14:07:23,-4358428.604503969,-375.64393990447246
2023-07-04 14:07:44,-4353705.505152778,-375.92762777053457
2023-07-04 14:08:05,-4366096.0994833335,-375.5832961336058
2023-07-04 14:08:25,-4359643.585176984,-375.6662942224927
2023-07-04 14:08:46,-4347640.028941667,-375.7786515890291
2023-07-04 14:09:06,-4363699.5606,-375.953535050694
2023-07-04 14:09:27,-4370178.564502381,-376.133561683789
2023-07-04 14:09:48,-4342271.869663889,-375.6734605886701
2023-07-04 14:10:08,-4349065.939220239,-375.7298752938104
2023-07-04 14:10:29,-4347424.561807143,-375.66516557554735
2023-07-04 14:10:49,-4352635.227892857,-375.376865105812
2023-07-04 14:11:09,-4353450.374078572,-375.4483834488735
2023-07-04 14:11:29,-4354474.468217857,-375.15080331271895
2023-07-04 14:11:51,-4354970.963427777,-375.65343935380207
2023-07-04 14:12:12,-4346123.925336508,-375.69081763761767
2023-07-04 14:12:32,-4344133.751309307,-375.3933076189237
2023-07-04 14:12:53,-4361480.826139682,-375.592573838016
2023-07-04 14:13:14,-4349740.754185715,-375.5166874078571
2023-07-04 14:13:34,-4348592.566508333,-375.5137199913176
2023-07-04 14:13:55,-4361731.650667857,-375.7362174876205
2023-07-04 14:14:16,-4353137.949025794,-375.7175843415441
2023-07-04 14:14:36,-4330387.233904762,-375.49875698214834
2023-07-04 14:14:56,-4342509.649946826,-375.4943854663774
2023-07-04 14:15:17,-4347994.435612301,-375.8579622238682
2023-07-04 14:15:38,-4361319.902368651,-375.97308271626446
2023-07-04 14:15:58,-4356166.999146825,-375.78641613800295
2023-07-04 14:16:18,-4350834.546386904,-375.4563659478457
2023-07-04 14:16:39,-4368042.814317858,-375.6089421164618
2023-07-04 14:16:59,-4374798.712979365,-375.5438480694144
2023-07-04 14:17:20,-4365114.012666667,-375.550805614706
2023-07-04 14:17:41,-4365242.79092738,-375.79577316182855
2023-07-04 14:18:01,-4343908.51909881,-375.7468685788788
2023-07-04 14:18:23,-4348229.21701508,-375.5756069617236
2023-07-04 14:18:43,-4359611.447079762,-375.9075859969559
2023-07-04 14:19:04,-4349924.690521428,-375.9408764813524
2023-07-04 14:19:24,-4356779.633626191,-375.6762685885729
2023-07-04 14:19:46,-4357727.644424603,-375.74642431222566
2023-07-04 14:20:07,-4344221.314310894,-375.6539110947194
2023-07-04 14:20:28,-4352295.744192857,-375.7353171261124
2023-07-04 14:20:48,-4351263.277964286,-375.5889465890833
2023-07-04 14:21:09,-4338954.220425,-375.6022611019379
2023-07-04 14:21:29,-4350463.841070239,-375.540943289143
2023-07-04 14:21:50,-4361714.489428571,-375.5868821106486
2023-07-04 14:22:11,-4339660.167667856,-375.75325242887646
2023-07-04 14:22:32,-4351461.901097619,-375.7286097582188
2023-07-04 14:22:52,-4352624.923734523,-376.09421196551415
2023-07-04 14:23:14,-4348586.953423809,-375.79862012944704
2023-07-04 14:23:35,-4352492.312097618,-375.817628043734
