datetime,measured_surface,measured_surface_total_mean
2023-07-04 13:49:15,-2923766.5762416665,-374.5746293948504
2023-07-04 13:49:36,-2925619.5964023806,-374.88758052434457
2023-07-04 13:49:56,-2910936.851957143,-374.1237562700544
2023-07-04 13:50:17,-2919404.7351928577,-373.9408611038792
2023-07-04 13:50:38,-2913755.1282738093,-373.9854155657292
2023-07-04 13:50:58,-2917571.938883333,-374.161056890921
2023-07-04 13:51:18,-2912585.1153654763,-373.66037151582094
2023-07-04 13:51:39,-2914600.6235857145,-373.3722982673268
2023-07-04 13:52:00,-2927785.180219048,-373.76111757449854
2023-07-04 13:52:21,-2927768.9203500003,-373.7375663314953
2023-07-04 13:52:41,-2913869.353980952,-373.4274650133438
2023-07-04 13:53:02,-2918592.747004762,-373.9103728913299
2023-07-04 13:53:22,-2919183.08635,-374.0196396866841
2023-07-04 13:53:43,-2915559.2517714286,-374.2472176924082
2023-07-04 13:54:03,-2925213.0785666667,-373.5537925278737
2023-07-04 13:54:24,-2920475.5361261903,-373.6780178396393
2023-07-04 13:54:44,-2924412.196821429,-373.5271158017796
2023-07-04 13:55:05,-2920432.200733334,-373.8792017145083
2023-07-04 13:55:25,-2920593.8145559523,-373.5957833257581
2023-07-04 13:55:45,-2916441.465733333,-373.4691753840171
2023-07-04 13:56:06,-2919688.6147833336,-373.4925533329031
2023-07-04 13:56:26,-2920523.130392857,-373.44874703787633
2023-07-04 13:56:47,-2920950.662940476,-373.4534790980164
2023-07-04 13:57:08,-2923177.7990428573,-373.5161918943416
2023-07-04 13:57:28,-2915227.4037690475,-373.1537871582221
2023-07-04 13:57:48,-2918678.6981333336,-373.2905806178862
2023-07-04 13:58:09,-2912675.2252166667,-373.3977679885394
2023-07-04 13:58:29,-2918204.0236333334,-373.4805792204424
2023-07-04 13:58:50,-2915966.4987238096,-373.25754743907214
2023-07-04 13:59:10,-2914064.5559833334,-373.2206505295991
2023-07-04 13:59:31,-2922106.0239166664,-373.5872218113403
2023-07-04 13:59:52,-2906402.429220238,-373.1537564110888
2023-07-04 14:00:12,-2916708.15785,-373.31955487686014
2023-07-04 14:00:33,-2922850.5364666665,-373.47929176379176
2023-07-04 14:00:54,-2922653.5429833336,-373.6851129335495
2023-07-04 14:01:14,-2920289.914316667,-373.5153774611399
2023-07-04 14:01:34,-2924626.3543833336,-374.3045178455548
2023-07-04 14:01:55,-2922908.4326,-373.7969191214807
2023-07-04 14:02:15,-2920634.8171666665,-373.5445335542129
2023-07-04 14:02:36,-2925156.7536166664,-373.7529579935275
2023-07-04 14:02:56,-2915873.477842857,-373.5993712687781
2023-07-04 14:03:17,-2923559.133966666,-374.1623240223464
2023-07-04 14:03:38,-2918988.382490476,-373.8425538860104
2023-07-04 14:03:58,-2931746.032597619,-373.81822042107984
2023-07-04 14:04:19,-2919926.5707,-373.66260600752565
2023-07-04 14:04:39,-2910280.8944214284,-373.3014768620824
2023-07-04 14:04:59,-2920334.8558738097,-373.6762146528727
2023-07-04 14:05:20,-2916568.194819048,-373.3586249192193
2023-07-04 14:05:40,-2920347.9489119044,-373.44139735271216
2023-07-04 14:06:01,-2928159.889192857,-373.5625213193365
2023-07-04 14:06:22,-2925448.9220285714,-373.4928370504061
2023-07-04 14:06:42,-2922349.8701,-373.5671102765007
2023-07-04 14:07:02,-2921988.726869048,-373.97215132564656
2023-07-04 14:07:23,-2928704.1663666666,-373.914429785302
2023-07-04 14:07:44,-2919506.012783333,-373.91894050402703
2023-07-04 14:08:05,-2838266.00410099,-370.1288746255338
2023-07-04 14:08:25,-2929191.326519048,-374.2624192247658
2023-07-04 14:08:46,-2937541.7300166665,-374.4268130022868
2023-07-04 14:09:06,-2930425.380516667,-374.2731823042316
2023-07-04 14:09:27,-2922988.5087809525,-374.1440886059419
2023-07-04 14:09:48,-2923670.175225,-374.1938338662316
2023-07-04 14:10:08,-2927139.070009524,-373.96520397170485
2023-07-04 14:10:29,-2926283.5370166665,-374.0621144145322
2023-07-04 14:10:49,-2928844.4118333333,-373.7417055751404
2023-07-04 14:11:09,-2920522.1467,-373.8863527230139
2023-07-04 14:11:29,-2924716.661278571,-373.6782381942189
2023-07-04 14:11:51,-2929247.43845,-373.76119296541
2023-07-04 14:12:12,-2927352.9568666667,-373.7583910218931
2023-07-04 14:12:32,-2647702.6005081087,-371.930975061296
2023-07-04 14:12:53,-2929950.85595,-373.6483295063891
2023-07-04 14:13:14,-2926450.8629880957,-373.7151107726213
2023-07-04 14:13:34,-2922031.904716667,-373.7320810723096
2023-07-04 14:13:55,-2928555.9515333334,-373.9205170636215
2023-07-04 14:14:16,-2924523.333988096,-373.9411589184984
2023-07-04 14:14:36,-2923969.161283334,-373.5615624634194
2023-07-04 14:14:56,-2923060.7623500004,-373.5919633837564
2023-07-04 14:15:17,-2925197.574016667,-373.6367550663645
2023-07-04 14:15:38,-2912909.178409524,-373.52884460384746
2023-07-04 14:15:58,-2919330.0197571428,-373.68385588558857
2023-07-04 14:16:18,-2920306.7365452377,-373.3856972258064
2023-07-04 14:16:39,-2911917.0313261906,-373.3629276889062
2023-07-04 14:16:59,-2909054.803178571,-373.15035231916966
2023-07-04 14:17:20,-2916598.3567583337,-373.06381900864034
2023-07-04 14:17:41,-2929101.2249666667,-373.71828293189634
2023-07-04 14:18:01,-2920961.7097666664,-374.1475020543925
2023-07-04 14:18:23,-2930251.0308166663,-374.14390923246606
2023-07-04 14:18:43,-2934671.7569952384,-374.15500397213
2023-07-04 14:19:04,-2929418.6421666667,-373.9325901265162
2023-07-04 14:19:24,-2915293.59995,-373.17684694939504
2023-07-04 14:19:46,-2925196.505525,-373.5271906160272
