datetime,temperature,altitude,humidity,pressure
00:06:00 01/07/2023,24.627,67.198,100.0,1005.205
00:36:00 01/07/2023,24.621,67.261,100.0,1005.197
01:06:00 01/07/2023,24.622000000000003,67.20700000000001,100.0,1005.205
01:36:05 01/07/2023,24.615,67.239,100.0,1005.204
02:06:05 01/07/2023,24.613000000000007,67.122,100.0,1005.2140000000002
02:36:05 01/07/2023,24.614,67.064,100.0,1005.222
03:06:06 01/07/2023,24.612,67.078,100.0,1005.2189999999998
03:36:07 01/07/2023,24.608,67.068,100.0,1005.22
04:06:07 01/07/2023,22.965555555555557,73.19444444444444,100.0,1004.49
04:36:07 01/07/2023,22.967,73.14599999999999,100.0,1004.495
05:06:17 01/07/2023,22.975,73.11800000000001,100.0,1004.499
05:36:25 01/07/2023,22.978,73.14599999999999,100.0,1004.494
06:06:25 01/07/2023,22.98,73.321,100.0,1004.477
06:36:31 01/07/2023,22.984,73.249,100.0,1004.482
07:06:32 01/07/2023,22.987,73.26499999999999,100.0,1004.483
07:36:41 01/07/2023,22.982,73.393,100.0,1004.466
08:06:46 01/07/2023,22.993,73.328,100.0,1004.473
08:36:58 01/07/2023,22.992,73.27000000000001,100.0,1004.476
09:06:58 01/07/2023,22.985,73.348,100.0,1004.47
09:36:58 01/07/2023,29.033,67.296,67.03,1005.194
10:06:59 01/07/2023,29.033000000000005,67.39099999999999,66.853,1005.182
10:37:03 01/07/2023,29.044000000000004,67.311,66.726,1005.1920000000002
11:07:03 01/07/2023,29.057,67.29299999999999,66.638,1005.1940000000002
11:37:07 01/07/2023,29.073999999999995,67.17699999999999,66.61100000000002,1005.207
12:07:07 01/07/2023,29.092,67.19400000000002,66.603,1005.206
12:37:14 01/07/2023,29.116000000000003,67.16799999999999,66.679,1005.2080000000002
13:07:14 01/07/2023,29.138999999999992,67.35,66.75,1005.188
13:37:15 01/07/2023,29.172000000000004,67.33700000000002,66.796,1005.188
14:07:20 01/07/2023,29.193,67.412,66.922,1005.18
14:37:27 01/07/2023,29.22600000000001,67.287,67.039,1005.194
15:07:33 01/07/2023,30.62625,72.64375000000001,62.86875,1004.55375
15:37:34 01/07/2023,31.087,74.527,61.48299999999999,1004.332
16:07:34 01/07/2023,31.079,74.387,61.629,1004.346
16:37:34 01/07/2023,31.057,74.467,61.74,1004.3390000000002
17:07:39 01/07/2023,31.052000000000003,74.553,61.85,1004.326
17:37:46 01/07/2023,31.009000000000004,74.45000000000002,61.872,1004.341
18:07:49 01/07/2023,30.978,74.455,61.993,1004.3390000000002
18:37:53 01/07/2023,30.962,74.33600000000001,62.177,1004.354
19:08:03 01/07/2023,30.944,74.33800000000001,62.411,1004.353
19:38:04 01/07/2023,30.910000000000004,74.34,62.412,1004.352
20:08:05 01/07/2023,30.875,74.424,62.45200000000001,1004.343
20:38:09 01/07/2023,30.841,74.37000000000002,62.388,1004.35
21:08:09 01/07/2023,26.47777777777777,65.32111111111112,91.63111111111112,1005.428888888889
21:38:10 01/07/2023,25.233,62.667,100.0,1005.745
22:08:17 01/07/2023,25.225,62.604,100.0,1005.756
22:38:26 01/07/2023,25.222,62.569,100.0,1005.758
