                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6726,                 3.0499,                 2.2493,                0.80604,                0.77485,                0.84373,                0.38034,                 1.7295,                 1.3981,                 1.4419,                 0.0712,                 0.0032,                 0.0032
                      1,                 1.9651,                 1.8305,                 1.6437,                0.95315,                0.81356,                0.92013,                0.41281,                 1.9369,                 1.6546,                 1.6246,               0.041436,              0.0064357,              0.0064357
                      2,                 1.7901,                 1.5992,                 1.5725,                0.96404,                0.90872,                0.93571,                0.42346,                 1.8995,                 1.5141,                 1.5736,               0.011606,               0.009606,               0.009606
                      3,                 1.8659,                 1.6514,                  1.603,                0.99804,                0.74576,                0.85403,                0.51112,                 1.5066,                 1.0563,                 1.3982,               0.009703,               0.009703,               0.009703
                      4,                 1.7497,                 1.3578,                 1.4819,                0.81916,                0.77966,                 0.7551,                0.22468,                 2.5683,                 2.3571,                 2.0024,               0.009703,               0.009703,               0.009703
                      5,                 1.7961,                 1.2607,                 1.4744,                0.81058,                0.72881,                0.81754,                0.42516,                 1.6766,                  1.894,                 1.5002,               0.009604,               0.009604,               0.009604
                      6,                 1.7208,                 1.1966,                 1.4775,                0.93809,                0.89831,                0.92826,                  0.399,                 1.9556,                 2.9527,                 1.6946,               0.009505,               0.009505,               0.009505
                      7,                 1.7153,                  1.198,                 1.4987,                0.92689,                0.85953,                 0.9256,                0.42716,                 1.7771,                 1.0619,                  1.482,               0.009406,               0.009406,               0.009406
                      8,                 1.6445,                 1.0685,                 1.4117,                0.87183,                0.86441,                0.84933,                0.48912,                 1.5687,                 0.8622,                 1.4258,               0.009307,               0.009307,               0.009307
                      9,                 1.5992,                 1.0398,                 1.4018,                0.96161,                0.84918,                 0.9164,                0.52389,                 1.5028,                0.93839,                 1.3891,               0.009208,               0.009208,               0.009208
                     10,                 1.5892,                 1.0841,                 1.4298,                0.97346,                 0.9322,                0.96941,                0.53287,                 1.5353,                0.97781,                 1.3771,               0.009109,               0.009109,               0.009109
                     11,                 1.5871,                 1.0643,                 1.3862,                0.96404,                0.90888,                0.90152,                0.33692,                 2.1453,                   1.53,                  1.852,                0.00901,                0.00901,                0.00901
                     12,                 1.5678,                 1.0088,                  1.406,                      1,                0.94562,                0.95298,                0.54758,                 1.5898,                0.84945,                 1.4548,               0.008911,               0.008911,               0.008911
                     13,                 1.5099,                0.98516,                 1.3562,                 0.9952,                0.94915,                0.96439,                 0.4849,                 1.7814,                0.84465,                 1.5942,               0.008812,               0.008812,               0.008812
                     14,                 1.4936,                0.98241,                 1.3591,                0.94383,                0.79661,                0.90917,                0.40248,                 1.9044,                0.87604,                  1.622,               0.008713,               0.008713,               0.008713
                     15,                  1.514,                0.96737,                  1.383,                0.97207,                0.91525,                0.94337,                0.41693,                  1.887,                0.97031,                  1.566,               0.008614,               0.008614,               0.008614
                     16,                 1.5071,                0.96502,                 1.3566,                0.96446,                0.92004,                0.94489,                0.59076,                 1.3371,                 1.0225,                  1.287,               0.008515,               0.008515,               0.008515
                     17,                 1.4098,                0.89141,                 1.3105,                0.98943,                0.91525,                0.94257,                  0.534,                 1.4219,                0.93973,                 1.3245,               0.008416,               0.008416,               0.008416
                     18,                 1.4657,                0.91526,                 1.3444,                0.97575,                0.91525,                0.93209,                0.54136,                 1.5165,                 1.0258,                 1.3673,               0.008317,               0.008317,               0.008317
                     19,                 1.4594,                0.89551,                 1.3257,                0.99382,                 0.9322,                0.94579,                0.58309,                 1.3178,                0.66541,                 1.2922,               0.008218,               0.008218,               0.008218
                     20,                 1.4445,                 0.8745,                 1.3125,                 0.9439,                0.85562,                0.88693,                0.56237,                  1.289,                0.75068,                 1.3402,               0.008119,               0.008119,               0.008119
                     21,                 1.4132,                0.87914,                 1.3211,                0.92829,                0.91525,                0.95381,                0.56654,                  1.405,                0.70141,                 1.3167,                0.00802,                0.00802,                0.00802
                     22,                 1.4281,                0.90774,                 1.3187,                      1,                0.91384,                0.96237,                0.57661,                 1.4132,                0.72615,                 1.3093,               0.007921,               0.007921,               0.007921
                     23,                 1.3775,                0.84962,                 1.2957,                0.94476,                 0.9661,                0.96323,                0.53298,                 1.6069,                0.73674,                 1.4359,               0.007822,               0.007822,               0.007822
                     24,                 1.3308,                0.81931,                 1.2771,                0.99642,                0.91525,                0.96173,                0.48921,                 1.7378,                0.70508,                 1.5607,               0.007723,               0.007723,               0.007723
                     25,                 1.3426,                0.78847,                 1.2825,                0.99578,                0.94915,                0.94749,                0.47317,                 1.7959,                0.76341,                 1.5328,               0.007624,               0.007624,               0.007624
                     26,                 1.3556,                0.83314,                 1.2834,                0.97889,                0.94915,                0.94655,                0.55575,                 1.4079,                0.67305,                 1.3232,               0.007525,               0.007525,               0.007525
                     27,                 1.3534,                0.82487,                  1.286,                0.98228,                0.93936,                0.94763,                0.56852,                 1.4896,                0.68991,                 1.3545,               0.007426,               0.007426,               0.007426
                     28,                 1.3156,                0.80717,                 1.2597,                0.97844,                0.91525,                0.93762,                0.57197,                 1.4349,                  0.735,                 1.3131,               0.007327,               0.007327,               0.007327
                     29,                 1.3217,                0.81702,                 1.2809,                0.99804,                0.94915,                 0.9573,                0.62558,                 1.3623,                 0.6368,                 1.3088,               0.007228,               0.007228,               0.007228
                     30,                 1.3025,                0.79519,                 1.2629,                0.99864,                 0.9661,                0.97783,                0.64065,                 1.2745,                0.59111,                 1.2255,               0.007129,               0.007129,               0.007129
                     31,                 1.2892,                 0.7851,                 1.2681,                0.99869,                0.94915,                0.97893,                0.64208,                 1.2517,                0.59488,                 1.2292,                0.00703,                0.00703,                0.00703
                     32,                 1.2594,                0.75218,                 1.2541,                0.99923,                0.94915,                0.96432,                0.58354,                 1.4755,                0.68074,                 1.3485,               0.006931,               0.006931,               0.006931
                     33,                 1.3053,                0.78548,                 1.2631,                0.99559,                0.94915,                0.95958,                0.61793,                 1.2617,                0.58746,                  1.237,               0.006832,               0.006832,               0.006832
                     34,                 1.2882,                0.81502,                 1.2414,                0.93966,                0.89831,                 0.9367,                0.57789,                 1.2937,                0.76028,                 1.2526,               0.006733,               0.006733,               0.006733
                     35,                   1.25,                0.77553,                 1.2395,                0.99907,                0.94915,                0.95533,                0.57284,                  1.407,                0.63113,                 1.3203,               0.006634,               0.006634,               0.006634
                     36,                 1.2164,                0.76448,                  1.211,                0.99623,                0.94915,                0.95426,                0.57078,                 1.4474,                 0.6334,                 1.3193,               0.006535,               0.006535,               0.006535
                     37,                 1.2379,                0.76527,                  1.242,                0.97848,                0.94915,                0.95529,                0.57505,                  1.421,                0.68439,                 1.2998,               0.006436,               0.006436,               0.006436
                     38,                 1.1811,                0.70894,                   1.21,                0.99846,                0.94915,                0.95328,                0.64575,                 1.2394,                0.59698,                 1.2749,               0.006337,               0.006337,               0.006337
                     39,                 1.2072,                0.72463,                 1.2091,                0.99817,                 0.9322,                0.95953,                 0.6572,                 1.2241,                0.65056,                 1.2548,               0.006238,               0.006238,               0.006238
                     40,                 1.1852,                0.69641,                 1.1984,                0.99553,                0.94915,                0.96716,                0.58348,                 1.4145,                0.58741,                 1.3199,               0.006139,               0.006139,               0.006139
                     41,                 1.1774,                0.66871,                  1.171,                      1,                0.95859,                0.97068,                0.64384,                 1.2962,                0.59471,                 1.2727,                0.00604,                0.00604,                0.00604
                     42,                 1.1897,                0.70133,                 1.2053,                0.98133,                 0.9322,                0.96287,                0.67997,                 1.1496,                0.54571,                 1.2186,               0.005941,               0.005941,               0.005941
                     43,                 1.1975,                0.69667,                 1.1987,                0.99699,                0.94915,                0.97496,                0.67926,                 1.1551,                0.55316,                 1.2104,               0.005842,               0.005842,               0.005842
                     44,                 1.1613,                0.71996,                 1.1951,                0.99831,                0.94915,                0.96488,                0.59619,                 1.3231,                0.58425,                 1.2591,               0.005743,               0.005743,               0.005743
                     45,                 1.1681,                0.68041,                 1.1666,                0.98238,                0.94518,                 0.9598,                 0.5957,                 1.3061,                 0.5743,                 1.2596,               0.005644,               0.005644,               0.005644
                     46,                 1.1431,                0.69323,                 1.1773,                0.98021,                 0.9322,                 0.9655,                0.61891,                 1.2358,                 0.5644,                 1.2483,               0.005545,               0.005545,               0.005545
                     47,                 1.1438,                0.66382,                 1.1632,                0.99631,                0.94915,                0.96719,                0.63623,                 1.1938,                0.50217,                 1.1986,               0.005446,               0.005446,               0.005446
                     48,                 1.1333,                0.64072,                 1.1257,                 0.9772,                0.94915,                0.95442,                0.63021,                 1.2887,                0.54686,                 1.2582,               0.005347,               0.005347,               0.005347
                     49,                 1.0866,                0.62994,                 1.1358,                0.99768,                 0.9322,                0.95098,                0.59737,                   1.33,                0.57953,                 1.3018,               0.005248,               0.005248,               0.005248
                     50,                 1.0812,                0.61322,                 1.1046,                      1,                0.94664,                0.96493,                0.59945,                 1.4227,                0.59451,                 1.3695,               0.005149,               0.005149,               0.005149
                     51,                 1.1059,                0.65613,                 1.1403,                0.99765,                0.91525,                0.95858,                0.61394,                 1.2952,                0.56583,                 1.2553,                0.00505,                0.00505,                0.00505
                     52,                 1.0839,                0.63025,                 1.1187,                  0.998,                0.86441,                0.93784,                0.59058,                 1.3025,                  0.652,                 1.2872,               0.004951,               0.004951,               0.004951
                     53,                 1.0397,                0.60701,                 1.0952,                0.99284,                 0.9322,                0.96418,                0.53078,                 1.5584,                0.59908,                 1.3922,               0.004852,               0.004852,               0.004852
                     54,                 1.0727,                0.62466,                 1.1151,                      1,                0.94707,                0.96379,                0.65217,                 1.2379,                 0.5609,                 1.2247,               0.004753,               0.004753,               0.004753
                     55,                 1.0567,                0.62493,                 1.1199,                0.97998,                0.94915,                0.96708,                0.59871,                 1.3231,                 0.5798,                 1.2644,               0.004654,               0.004654,               0.004654
                     56,                 1.1057,                0.63069,                 1.1327,                0.98211,                0.93057,                0.95234,                 0.6306,                 1.2202,                0.54167,                 1.2083,               0.004555,               0.004555,               0.004555
