                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3185,                 4.0587,                 1.9808,                0.00388,                 0.9661,                0.72831,                 0.2482,                 1.6695,                 3.8273,                 1.2376,                 0.0712,                 0.0032,                 0.0032
                      1,                 1.8847,                 2.5004,                  1.464,                0.61164,                0.18688,                0.62569,                0.16454,                 1.9497,                  2.849,                 1.5066,               0.041436,              0.0064357,              0.0064357
                      2,                 1.7541,                 1.9889,                  1.455,                0.80043,                0.77966,                0.75398,                0.20348,                 2.3316,                 2.1049,                 1.7549,               0.011606,               0.009606,               0.009606
                      3,                 1.8575,                 1.9164,                 1.4419,                 0.8166,                0.69492,                0.79381,                0.36775,                 1.7882,                 2.0073,                 1.4846,               0.009703,               0.009703,               0.009703
                      4,                 1.7482,                 1.7003,                 1.4284,                 0.9028,                0.83051,                0.91596,                0.41285,                 1.8709,                 1.5963,                 1.5651,               0.009703,               0.009703,               0.009703
                      5,                 1.6843,                 1.5346,                 1.4282,                0.80874,                0.81356,                0.87394,                0.47508,                 1.6573,                 2.9637,                 1.4529,               0.009604,               0.009604,               0.009604
                      6,                 1.6385,                  1.424,                 1.3729,                0.94131,                0.81552,                0.91493,                0.48693,                 1.5685,                 1.3479,                  1.393,               0.009505,               0.009505,               0.009505
                      7,                 1.6618,                 1.4496,                 1.4132,                0.98177,                 0.9126,                 0.9556,                0.52593,                 1.4472,                  1.126,                  1.301,               0.009406,               0.009406,               0.009406
                      8,                 1.5866,                 1.2314,                 1.3662,                0.99596,                0.79661,                0.90664,                0.47857,                 1.6901,                 1.0913,                 1.4739,               0.009307,               0.009307,               0.009307
                      9,                 1.5666,                 1.1962,                 1.3643,                 0.9199,                0.88136,                0.91315,                0.54091,                 1.4202,                 1.2202,                 1.4117,               0.009208,               0.009208,               0.009208
                     10,                 1.5054,                 1.1556,                 1.3085,                0.93809,                0.89831,                0.94003,                0.49602,                 1.5863,                  0.996,                 1.3944,               0.009109,               0.009109,               0.009109
                     11,                 1.5049,                  1.124,                 1.3317,                0.97837,                 0.9322,                0.96301,                 0.4666,                 1.7003,                0.88852,                 1.3902,                0.00901,                0.00901,                0.00901
                     12,                 1.5051,                 1.0585,                 1.3249,                0.97687,                0.94915,                0.96362,                0.46787,                 1.6649,                0.81895,                 1.4191,               0.008911,               0.008911,               0.008911
                     13,                 1.4383,                0.99861,                 1.2769,                0.88668,                0.89831,                0.92832,                0.46183,                 1.8103,                0.92885,                  1.497,               0.008812,               0.008812,               0.008812
                     14,                 1.3989,                 1.0109,                 1.2856,                0.99083,                0.94915,                 0.9464,                0.58749,                 1.2609,                0.86037,                 1.2319,               0.008713,               0.008713,               0.008713
                     15,                 1.4619,                 1.0478,                 1.3039,                0.95871,                0.89831,                0.94493,                0.57005,                 1.4098,                0.83528,                 1.2893,               0.008614,               0.008614,               0.008614
                     16,                 1.3591,                0.93486,                 1.2541,                0.92782,                0.87156,                0.94737,                0.56119,                 1.3814,                0.78068,                  1.289,               0.008515,               0.008515,               0.008515
                     17,                 1.3337,                0.91537,                  1.244,                 0.9604,                0.94915,                0.95674,                0.60803,                 1.2699,                0.73877,                  1.225,               0.008416,               0.008416,               0.008416
                     18,                 1.3422,                0.90202,                 1.2421,                0.99706,                0.94915,                0.95239,                  0.554,                 1.3899,                0.70644,                 1.2537,               0.008317,               0.008317,               0.008317
                     19,                 1.3197,                0.87006,                 1.2205,                0.99636,                0.94915,                0.95847,                0.47383,                 1.7219,                0.72277,                 1.4567,               0.008218,               0.008218,               0.008218
