                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5387,                 4.5954,                  2.285,                0.67963,                0.79661,                0.77399,                0.32015,                 1.6948,                 1.5858,                 1.5783,                 0.0712,                 0.0032,                 0.0032
                      1,                 1.8979,                  1.684,                  1.706,                0.96362,                0.89782,                0.93294,                 0.3766,                 2.1812,                  1.098,                 1.5909,               0.041436,              0.0064357,              0.0064357
                      2,                 1.6661,                 1.3652,                 1.4976,                0.89944,                0.76271,                0.79734,                0.23593,                 2.5638,                 1.0041,                 2.0983,               0.011606,               0.009606,               0.009606
                      3,                 1.7152,                 1.3385,                 1.4749,                0.94344,                0.66102,                0.80986,                0.40624,                  1.696,                 1.9952,                 1.4547,               0.009703,               0.009703,               0.009703
                      4,                 1.6181,                 1.1335,                 1.4189,                0.91327,                0.89244,                0.92935,                0.47281,                 1.6945,                0.84856,                 1.4445,               0.009703,               0.009703,               0.009703
                      5,                 1.5663,                 1.0164,                 1.4293,                0.96432,                 0.9162,                0.95163,                0.57153,                 1.3836,                 1.1077,                 1.2529,               0.009604,               0.009604,               0.009604
                      6,                 1.4985,                0.92208,                 1.3636,                0.94466,                0.86796,                 0.9372,                0.58334,                 1.3084,                0.89749,                 1.2579,               0.009505,               0.009505,               0.009505
                      7,                 1.5333,                 0.9786,                 1.3978,                0.98056,                 0.9322,                0.95036,                0.49787,                 1.6036,                0.71483,                 1.3688,               0.009406,               0.009406,               0.009406
                      8,                  1.432,                0.88402,                 1.3565,                0.96121,                0.84746,                 0.8838,                0.54799,                 1.3989,                0.86121,                 1.3298,               0.009307,               0.009307,               0.009307
                      9,                 1.4252,                 0.8664,                 1.3133,                0.99078,                 0.9322,                0.96694,                  0.597,                 1.3551,                0.72712,                 1.2587,               0.009208,               0.009208,               0.009208
                     10,                 1.3876,                 0.8544,                 1.2853,                0.89648,                0.88072,                0.88473,                0.52347,                 1.3889,                0.86739,                 1.2777,               0.009109,               0.009109,               0.009109
                     11,                 1.3705,                0.83879,                 1.3062,                0.99242,                0.91525,                 0.9583,                 0.5813,                 1.4128,                0.68212,                 1.2528,                0.00901,                0.00901,                0.00901
                     12,                 1.3391,                0.78838,                 1.2771,                      1,                0.92677,                0.93861,                0.48606,                 1.6523,                0.76241,                 1.4545,               0.008911,               0.008911,               0.008911
                     13,                  1.297,                0.78683,                  1.244,                0.99788,                0.91525,                0.93934,                0.50467,                 1.5959,                 0.7078,                 1.3817,               0.008812,               0.008812,               0.008812
                     14,                 1.2906,                0.78994,                 1.2705,                0.97408,                0.91525,                0.94579,                0.55585,                 1.4606,                0.73601,                 1.3327,               0.008713,               0.008713,               0.008713
